dataset,model,split,horizon,n_obs,WAPE,RMSE,Bias,MASE_mean,wQL50,under_forecast_rate
A,ARIMA,test,0,1236.0,0.1066327405541892,4788.503753890319,-300.8363706191197,0.952214466534816,1646.5221428320808,0.5218446601941747
A,ARIMA,test,1,103.0,0.1031341204334621,4538.734704859128,507.4157438182321,0.9524097164969056,1560.2770572543843,0.4271844660194174
A,ARIMA,test,2,103.0,0.0859306802643478,3869.2377067117086,-209.8300955447638,0.794904974325873,1319.678753602824,0.5242718446601942
A,ARIMA,test,3,103.0,0.1057532037525182,4988.954309999655,-1346.615172387846,0.9647828745072304,1690.5933032506948,0.5825242718446602
A,ARIMA,test,4,103.0,0.1099355824635598,5040.739682309811,74.94784664291385,0.8836106994285451,1674.025403588197,0.5339805825242718
A,ARIMA,test,5,103.0,0.109123564392345,4374.61052762103,1654.1407784215785,0.9363197621286532,1579.1991430631656,0.3398058252427184
A,ARIMA,test,6,103.0,0.0997760470260531,3916.437211252492,1133.4933320240389,0.8907143582780133,1467.2120993652832,0.3300970873786408
A,ARIMA,test,7,103.0,0.1131510235735349,5016.022911367041,771.0377943391558,0.9563038310375948,1686.7840534485092,0.4174757281553398
A,ARIMA,test,8,103.0,0.1080195539672796,4751.820200856747,406.0252019477961,0.9464975336946344,1628.1677252467025,0.4854368932038835
A,ARIMA,test,9,103.0,0.1050528901351929,4614.138518795371,-886.9503551251046,0.962114154975238,1652.8078297721986,0.6116504854368932
A,ARIMA,test,10,103.0,0.0986064902259385,4209.723436785382,-1503.7592261998927,0.9403999380949534,1580.6931520201665,0.6893203883495146
A,ARIMA,test,11,103.0,0.1422420532741298,7267.098851720622,-4068.7928416117256,1.325816766727853,2463.917537309881,0.8058252427184466
A,ARIMA,test,12,103.0,0.09477852146349,3904.949863421431,-141.14945375381814,0.8726989887222976,1454.909656062964,0.5145631067961165
A,ARIMA,val,0,618.0,0.1176630470418401,5265.208787409786,-1633.0283099384912,1.0094004486944828,1807.2254845481027,0.6521035598705501
A,ARIMA,val,1,103.0,0.1075882806423419,4379.305866251199,914.4950845337412,0.8521928397174273,1522.994631659057,0.4563106796116505
A,ARIMA,val,2,103.0,0.0962795228268602,4157.325214736842,-778.137431364497,0.8619762843259196,1431.848031546467,0.6019417475728155
A,ARIMA,val,3,103.0,0.112416723777605,4686.401610825098,-1175.1671424511808,0.940669132867436,1703.9002822971595,0.6213592233009708
A,ARIMA,val,4,103.0,0.1147092176348532,5227.756922410474,-2722.962122851824,1.0291928445489975,1820.9358838003336,0.7475728155339806
A,ARIMA,val,5,103.0,0.1614995396301727,7622.618854820376,-4631.833865746133,1.4585720995317537,2724.8461039257495,0.8058252427184466
A,ARIMA,val,6,103.0,0.1076412758403385,4740.964873864456,-1404.5643817510534,0.9137994911753629,1638.8279740598496,0.6796116504854369
A,CATBOOST,test,0,14832.0,0.1162809837634124,5337.523417728467,-1238.8523081547037,1.0386015437967258,1795.5012087442258,0.5481391585760518
A,CATBOOST,test,1,1236.0,0.1101439258967791,5076.558606532336,-1422.8558541145633,0.9915053486645976,1700.7385531401685,0.5800970873786407
A,CATBOOST,test,2,1236.0,0.1158160076375092,5346.613477051536,-1439.2595725586602,1.0485075037591731,1788.3214862386533,0.5622977346278317
