dataset,model,series_id,fg_code,fg_category,month,horizon,y_true,forecast_p50,p10,p90
A,XGBOOST,FG001,FG001,Soap,2025-11-01,1,28492.0,27619.302734375,21816.177734375,33422.42578125
A,XGBOOST,FG001,FG001,Soap,2025-12-01,1,27969.0,31522.4140625,25719.2890625,37325.5390625
A,XGBOOST,FG001,FG001,Soap,2026-01-01,1,27217.0,29424.69921875,23621.57421875,35227.82421875
A,XGBOOST,FG002,FG002,Soap,2025-11-01,1,47199.0,52424.98046875,46621.85546875,58228.10546875
A,XGBOOST,FG002,FG002,Soap,2025-12-01,1,61631.0,53959.30859375,48156.18359375,59762.43359375
A,XGBOOST,FG002,FG002,Soap,2026-01-01,1,50847.0,49195.2890625,43392.1640625,54998.4140625
A,XGBOOST,FG003,FG003,Soap,2025-11-01,1,84830.0,75213.6953125,69410.5703125,81016.8203125
A,XGBOOST,FG003,FG003,Soap,2025-12-01,1,103028.0,83628.9453125,77825.8203125,89432.0703125
A,XGBOOST,FG003,FG003,Soap,2026-01-01,1,76755.0,67610.625,61807.5,73413.75
A,XGBOOST,FG004,FG004,Soap,2025-11-01,1,51982.0,54927.52734375,49124.40234375,60730.65234375
A,XGBOOST,FG004,FG004,Soap,2025-12-01,1,51802.0,56185.4765625,50382.3515625,61988.6015625
A,XGBOOST,FG004,FG004,Soap,2026-01-01,1,54367.0,49744.62890625,43941.50390625,55547.75390625
A,XGBOOST,FG005,FG005,Soap,2025-11-01,1,43252.0,42743.3671875,36940.2421875,48546.4921875
A,XGBOOST,FG005,FG005,Soap,2025-12-01,1,43319.0,44466.35546875,38663.23046875,50269.48046875
A,XGBOOST,FG005,FG005,Soap,2026-01-01,1,33798.0,42719.98046875,36916.85546875,48523.10546875
A,XGBOOST,FG006,FG006,Soap,2025-11-01,1,73318.0,65530.62109375,59727.49609375,71333.7421875
A,XGBOOST,FG006,FG006,Soap,2025-12-01,1,80199.0,74962.5859375,69159.4609375,80765.7109375
A,XGBOOST,FG006,FG006,Soap,2026-01-01,1,60916.0,70117.578125,64314.453125,75920.703125
A,XGBOOST,FG007,FG007,Soap,2025-11-01,1,52682.0,45546.9296875,39743.8046875,51350.0546875
A,XGBOOST,FG007,FG007,Soap,2025-12-01,1,52243.0,44520.1015625,38716.9765625,50323.2265625
A,XGBOOST,FG007,FG007,Soap,2026-01-01,1,51846.0,44508.1484375,38705.0234375,50311.2734375
A,XGBOOST,FG008,FG008,Soap,2025-11-01,1,42769.0,39072.30078125,33269.17578125,44875.42578125
A,XGBOOST,FG008,FG008,Soap,2025-12-01,1,40796.0,39553.8828125,33750.7578125,45357.0078125
A,XGBOOST,FG008,FG008,Soap,2026-01-01,1,38080.0,39645.203125,33842.078125,45448.328125
A,XGBOOST,FG009,FG009,Soap,2025-11-01,1,29354.0,37261.1875,31458.0625,43064.3125
A,XGBOOST,FG009,FG009,Soap,2025-12-01,1,38583.0,35373.33203125,29570.20703125,41176.45703125
A,XGBOOST,FG009,FG009,Soap,2026-01-01,1,34651.0,34845.703125,29042.578125,40648.828125
A,XGBOOST,FG010,FG010,Soap,2025-11-01,1,75509.0,80406.546875,74603.421875,86209.671875
A,XGBOOST,FG010,FG010,Soap,2025-12-01,1,95170.0,79756.3125,73953.1875,85559.4375
A,XGBOOST,FG010,FG010,Soap,2026-01-01,1,68112.0,69754.953125,63951.828125,75558.078125
A,XGBOOST,FG011,FG011,Soap,2025-11-01,1,61614.0,59293.03125,53489.90625,65096.15625
A,XGBOOST,FG011,FG011,Soap,2025-12-01,1,71825.0,71122.75,65319.625,76925.875
