dataset,model,series_id,fg_code,fg_category,forecast_p50,safety_stock,reorder_point,target_max,on_hand_inventory,suggested_order_qty
A,CATBOOST,FG001,FG001,Soap,28708.89422003874,3857.0,32566.0,61275.0,,61275.0
A,CATBOOST,FG002,FG002,Soap,50596.07725272526,8098.0,58694.0,109290.0,,109290.0
A,CATBOOST,FG003,FG003,Soap,79141.58796676729,12486.0,91628.0,170770.0,,170770.0
A,CATBOOST,FG004,FG004,Soap,52674.55630649063,6099.0,58774.0,111449.0,,111449.0
A,CATBOOST,FG005,FG005,Soap,39923.82504438645,5278.0,45202.0,85126.0,,85126.0
A,CATBOOST,FG006,FG006,Soap,69405.70647715483,14814.0,84220.0,153626.0,,153626.0
A,CATBOOST,FG007,FG007,Soap,45440.563617685315,7140.0,52581.0,98022.0,,98022.0
A,CATBOOST,FG008,FG008,Soap,39897.032224431736,4686.0,44583.0,84480.0,,84480.0
A,CATBOOST,FG009,FG009,Soap,34526.84316433013,4415.0,38942.0,73469.0,,73469.0
A,CATBOOST,FG010,FG010,Soap,77622.30529954977,11608.0,89230.0,166852.0,,166852.0
A,CATBOOST,FG011,FG011,Soap,64964.58542751785,5154.0,70119.0,135084.0,,135084.0
A,CATBOOST,FG012,FG012,Soap,35284.05440142594,3223.0,38507.0,73791.0,,73791.0
A,CATBOOST,FG013,FG013,Soap,80290.71424385913,20859.0,101150.0,181441.0,,181441.0
A,CATBOOST,FG014,FG014,Soap,55692.9370289729,9541.0,65234.0,120927.0,,120927.0
A,CATBOOST,FG015,FG015,Soap,68080.66959418426,10085.0,78166.0,146247.0,,146247.0
A,CATBOOST,FG016,FG016,Shampoo,25788.88716154932,3299.0,29088.0,54877.0,,54877.0
A,CATBOOST,FG017,FG017,Shampoo,36909.358166501246,7789.0,44698.0,81607.0,,81607.0
A,CATBOOST,FG018,FG018,Shampoo,34810.985289988595,8519.0,43330.0,78141.0,,78141.0
A,CATBOOST,FG019,FG019,Shampoo,55814.68382826924,6145.0,61960.0,117775.0,,117775.0
A,CATBOOST,FG020,FG020,Shampoo,46528.78798570895,12001.0,58530.0,105059.0,,105059.0
A,CATBOOST,FG021,FG021,Shampoo,40523.052285116486,3880.0,44403.0,84926.0,,84926.0
A,CATBOOST,FG022,FG022,Shampoo,47738.348037521486,5476.0,53214.0,100952.0,,100952.0
A,CATBOOST,FG023,FG023,Shampoo,42299.90037595338,9487.0,51787.0,94087.0,,94087.0
A,CATBOOST,FG024,FG024,Shampoo,37582.18967213418,8270.0,45852.0,83434.0,,83434.0
A,CATBOOST,FG025,FG025,Shampoo,24074.16644635728,3373.0,27447.0,51521.0,,51521.0
A,CATBOOST,FG026,FG026,Shampoo,37576.807467098864,9269.0,46846.0,84423.0,,84423.0
