dataset,model,series_id,fg_code,fg_category,forecast_p50,safety_stock,reorder_point,target_max,on_hand_inventory,suggested_order_qty
A,SARIMA,FG053,FG053,Diaper,64666.108225523174,5.177783963711928e+20,5.177783963711929e+20,5.17778396371193e+20,,5.17778396371193e+20
B,SARIMA,FG053,FG053,Diaper,64666.108225523174,4.2276429031531984e+20,4.227642903153199e+20,4.2276429031532e+20,127959.0,4.2276429031531984e+20
A,SARIMA,FG026,FG026,Shampoo,39864.98643636295,3.9489238468102554e+20,3.948923846810256e+20,3.9489238468102567e+20,,3.9489238468102567e+20
B,SARIMA,FG026,FG026,Shampoo,39864.98643636295,3.9489238468102554e+20,3.948923846810256e+20,3.9489238468102567e+20,91327.0,3.948923846810256e+20
B,SARIMA,FG043,FG043,Liquid Wash,37951.34965994585,9.72513081893972e+19,9.725130818939724e+19,9.725130818939729e+19,83325.0,9.72513081893972e+19
A,SARIMA,FG043,FG043,Liquid Wash,37951.34965994585,9.272548411378372e+19,9.272548411378377e+19,9.27254841137838e+19,,9.27254841137838e+19
A,SARIMA,FG021,FG021,Shampoo,33404.73100435132,6472549986317872.0,6472549986351277.0,6472549986384682.0,,6472549986384682.0
B,SARIMA,FG021,FG021,Shampoo,33404.73100435132,5667332636799020.0,5667332636824630.0,5667332636858035.0,41660.0,5667332636816375.0
A,SARIMA,FG088,FG088,Home Care,31973.50048010466,3049172186760414.0,3049172186792388.0,3049172186824362.0,,3049172186824362.0
B,SARIMA,FG088,FG088,Home Care,31973.50048010466,2361878619808388.0,2361878619827572.0,2361878619859546.0,48669.0,2361878619810877.0
B,SARIMA,FG064,FG064,Lotion/Cream,22718.97270291524,622201462776226.0,622201462805761.0,622201462828480.0,45552.0,622201462782928.0
A,SARIMA,FG064,FG064,Lotion/Cream,22718.97270291524,545706782552453.0,545706782575172.0,545706782597891.0,,545706782597891.0
A,SARIMA,FG022,FG022,Shampoo,44887.80111883996,68606179527033.0,68606179571921.0,68606179616809.0,,68606179616809.0
B,SARIMA,FG022,FG022,Shampoo,44887.80111883996,57400047983489.0,57400048014910.0,57400048059798.0,76913.0,57400047982885.0
A,SARIMA,FG063,FG063,Sanitary,46658.83955615495,26473249794796.0,26473249841455.0,26473249888114.0,,26473249888114.0
B,SARIMA,FG063,FG063,Sanitary,46658.83955615495,23179846101047.0,23179846136819.0,23179846183478.0,53520.0,23179846129958.0
A,SARIMA,FG085,FG085,Home Care,9436.098781174516,1515516191957.0,1515516201393.0,1515516210829.0,,1515516210829.0
