dataset,model,risk_type,total_abs_error,avg_error
A,ARIMA,Over-forecast,1849184.4665355303,3128.9077267944676
A,ARIMA,Under-forecast,2221018.359395781,-3443.439316892684
A,CATBOOST,Over-forecast,17443545.21081908,2602.7372740702895
A,CATBOOST,Under-forecast,35818202.645369634,-4405.682982210287
A,ETS,Over-forecast,2134977.8346332135,3680.9962666089887
A,ETS,Under-forecast,2376784.9980445514,-3623.147862872792
A,SARIMA,Over-forecast,4490076.105176908,6545.300444864297
A,SARIMA,Under-forecast,3805251.5347507056,-6918.639154092192
A,XGBOOST,Over-forecast,19162866.552490234,3032.0991380522523
A,XGBOOST,Under-forecast,34599877.63964844,-4064.8352490188486
B,ARIMA,Over-forecast,1849184.4665355303,3128.9077267944676
B,ARIMA,Under-forecast,2221018.359395781,-3443.439316892684
B,CATBOOST,Over-forecast,18163809.50396685,2715.8806076505457
B,CATBOOST,Under-forecast,36623402.11411709,-4496.979630908288
B,ETS,Over-forecast,2134977.8346332135,3680.9962666089887
B,ETS,Under-forecast,2376784.9980445514,-3623.147862872792
B,SARIMA,Over-forecast,4490076.105176908,6545.300444864297
B,SARIMA,Under-forecast,3805251.5347507056,-6918.639154092192
B,XGBOOST,Over-forecast,18785522.423828125,2942.133504123434
B,XGBOOST,Under-forecast,34587158.05957031,-4094.6085071114376
C,CATBOOST,Over-forecast,240004194.89607516,4357.928474862004
C,CATBOOST,Under-forecast,378846489.4778358,-6377.1355139602365
C,XGBOOST,Over-forecast,255259399.31396484,4734.390520698213
C,XGBOOST,Under-forecast,375661759.8947754,-6202.723728531395
