lag_position,mean_attention_weight,note
-24,0.054608792,Attention weights are descriptive and are not causal effects.
-23,0.04542293,Attention weights are descriptive and are not causal effects.
-22,0.04207316,Attention weights are descriptive and are not causal effects.
-21,0.054869417,Attention weights are descriptive and are not causal effects.
-20,0.040332247,Attention weights are descriptive and are not causal effects.
-19,0.041729506,Attention weights are descriptive and are not causal effects.
-18,0.047858283,Attention weights are descriptive and are not causal effects.
-17,0.036584944,Attention weights are descriptive and are not causal effects.
-16,0.040592145,Attention weights are descriptive and are not causal effects.
-15,0.03587189,Attention weights are descriptive and are not causal effects.
-14,0.0436919,Attention weights are descriptive and are not causal effects.
-13,0.046600018,Attention weights are descriptive and are not causal effects.
-12,0.0352547,Attention weights are descriptive and are not causal effects.
-11,0.035253778,Attention weights are descriptive and are not causal effects.
-10,0.031182991,Attention weights are descriptive and are not causal effects.
-9,0.039150726,Attention weights are descriptive and are not causal effects.
-8,0.04089893,Attention weights are descriptive and are not causal effects.
-7,0.036574617,Attention weights are descriptive and are not causal effects.
-6,0.04583769,Attention weights are descriptive and are not causal effects.
-5,0.051173847,Attention weights are descriptive and are not causal effects.
-4,0.032929324,Attention weights are descriptive and are not causal effects.
-3,0.041399132,Attention weights are descriptive and are not causal effects.
-2,0.040306818,Attention weights are descriptive and are not causal effects.
-1,0.039802,Attention weights are descriptive and are not causal effects.
