model_name,under_to_over_cost_ratio,decision_quantile,forecast_source,shortage_units,inventory_holding_units,safety_stock_units,fill_rate_proxy,weighted_total_cost_proxy,claim_boundary,population
CONV1D_ATTENTION_GLOBAL,1:1,0.5,p50,84487.99666595459,58288.465259596705,0.0,0.9091385564222856,142776.4619255513,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
CONV1D_ATTENTION_GLOBAL,2:1,0.6666666666666666,p67,32466.9258980155,132974.47500024736,126707.08050858974,0.9650838950852636,197908.32679627836,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
CONV1D_ATTENTION_GLOBAL,3:1,0.75,p75,19850.878642737865,194296.8794504851,200645.53221410513,0.9786516480335484,253849.5153786987,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
CONV1D_ATTENTION_GLOBAL,5:1,0.8333333333333334,p83,14264.642326831818,257076.89074389637,269011.77982342243,0.9846592883595027,328400.10237805545,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
CROSTON_SBA,1:1,0.5,point_forecast,130067.85786108811,42266.41244547916,0.0,0.8601203183802946,172334.27030656725,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
CROSTON_SBA,2:1,0.6666666666666666,point_forecast,130067.85786108811,42266.41244547916,0.0,0.8601203183802946,302402.1281676554,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
CROSTON_SBA,3:1,0.75,point_forecast,130067.85786108811,42266.41244547916,0.0,0.8601203183802946,432469.98602874344,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
CROSTON_SBA,5:1,0.8333333333333334,point_forecast,130067.85786108811,42266.41244547916,0.0,0.8601203183802946,692605.7017509197,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
ETS_A_N_A,1:1,0.5,point_forecast,68181.87522556614,75100.513359151,0.0,0.926674743817397,143282.38858471712,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
ETS_A_N_A,2:1,0.6666666666666666,point_forecast,68181.87522556614,75100.513359151,0.0,0.926674743817397,211464.26381028327,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
ETS_A_N_A,3:1,0.75,point_forecast,68181.87522556614,75100.513359151,0.0,0.926674743817397,279646.13903584937,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
ETS_A_N_A,5:1,0.8333333333333334,point_forecast,68181.87522556614,75100.513359151,0.0,0.926674743817397,416009.8894869817,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
EXTRA_TREES,1:1,0.5,point_forecast,45291.588245555555,71176.16009958337,0.0,0.951291786856325,116467.74834513893,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
EXTRA_TREES,2:1,0.6666666666666666,point_forecast,45291.588245555555,71176.16009958337,0.0,0.951291786856325,161759.3365906945,Sensitivity proxy only until shortage and holding costs are supplied.,RM_PM_PRIMARY
