workers,replicate,algorithm,temporal_conflicts,total_wait_seconds,mean_runtime_ms,p95_runtime_ms,makespan_seconds
1,0,independent_astar,0,0.0,0.547,0.547,173.33333333333334
1,0,reservation_astar,0,0.0,0.944708,0.944708,173.33333333333334
1,1,independent_astar,0,0.0,0.196541,0.196541,68.66666666666667
1,1,reservation_astar,0,0.0,0.353166,0.353166,68.66666666666667
1,2,independent_astar,0,0.0,0.055125,0.055125,29.33333333333333
1,2,reservation_astar,0,0.0,0.052625,0.052625,29.33333333333333
1,3,independent_astar,0,0.0,0.337541,0.337541,142.0
1,3,reservation_astar,0,0.0,0.45475,0.45475,141.99999999999997
1,4,independent_astar,0,0.0,0.057209,0.057209,27.333333333333332
1,4,reservation_astar,0,0.0,0.083917,0.083917,27.333333333333332
1,5,independent_astar,0,0.0,0.128542,0.128542,64.00000000000001
1,5,reservation_astar,0,1.4210854715202004e-14,0.2225,0.2225,64.00000000000001
1,6,independent_astar,0,0.0,0.1405,0.1405,94.66666666666667
1,6,reservation_astar,0,0.0,0.201625,0.201625,94.66666666666666
1,7,independent_astar,0,0.0,0.414875,0.414875,165.33333333333334
1,7,reservation_astar,0,0.0,0.583458,0.583458,165.33333333333331
5,0,independent_astar,125,0.0,0.1394504,0.303859,148.66666666666663
5,0,reservation_astar,0,36.00000000599998,0.21265840000000003,0.40912499999999996,148.66666666666663
5,1,independent_astar,221,0.0,0.3523,0.6625334,190.0
5,1,reservation_astar,0,44.66666667266672,0.6498915999999999,1.189708,199.33333333533338
5,2,independent_astar,207,0.0,0.1726832,0.3185496,160.66666666666666
5,2,reservation_astar,0,37.333333339333336,0.293275,0.5493418,174.000000002
5,3,independent_astar,155,0.0,0.18748359999999997,0.26401699999999995,140.66666666666663
5,3,reservation_astar,0,26.6666666706667,0.2937666,0.39175000000000004,148.000000002
5,4,independent_astar,229,0.0,0.21498320000000004,0.4850748,153.33333333333326
5,4,reservation_astar,0,36.00000000599995,0.256875,0.557658,166.66666666966665
5,5,independent_astar,365,0.0,0.19290020000000002,0.3187668,170.0
5,5,reservation_astar,0,44.66666667266665,0.3247,0.48754179999999997,177.33333333433336
5,6,independent_astar,79,0.0,0.134267,0.2555998,152.66666666666663
5,6,reservation_astar,0,37.33333333933332,0.20995020000000003,0.36948359999999997,156.000000001
5,7,independent_astar,219,0.0,0.37415,0.5000751999999999,188.66666666666669
5,7,reservation_astar,0,26.66666667066667,0.6781002,0.9782589999999999,192.6666666676667
10,0,independent_astar,857,0.0,0.3680917,0.7554099,199.3333333333334
10,0,reservation_astar,0,196.66666669566683,0.48480420000000013,1.1540982499999999,237.3333333383335
10,1,independent_astar,642,0.0,0.2078792,0.5587207999999998,191.3333333333334
10,1,reservation_astar,0,226.0000000280002,0.36830399999999996,1.0247268999999994,246.00000000700012
10,2,independent_astar,962,0.0,0.2733751,0.5534043499999999,188.6666666666667
10,2,reservation_astar,0,168.66666669366674,0.4212207,0.9799621999999996,197.33333333733336
10,3,independent_astar,1076,0.0,0.3391667,0.6579909999999998,208.00000000000006
10,3,reservation_astar,0,174.00000002400026,0.57915,1.3446416999999997,247.33333333933345
10,4,independent_astar,824,0.0,0.20735829999999997,0.4823272999999999,192.00000000000003
10,4,reservation_astar,0,196.66666669566675,0.36296249999999997,0.9368685999999998,203.33333333533344
10,5,independent_astar,940,0.0,0.2809082,0.6510829999999999,174.66666666666669
10,5,reservation_astar,0,250.6666666856666,0.4294542999999999,1.0372002999999996,222.66666667066676
10,6,independent_astar,648,0.0,0.2153708,0.5838187499999997,173.99999999999997
10,6,reservation_astar,0,164.66666669066666,0.3459335,0.8903707999999996,193.3333333383334
10,7,independent_astar,984,0.0,0.1496792,0.42669604999999966,182.6666666666667
10,7,reservation_astar,0,182.00000001900003,0.26981669999999996,0.6767732499999997,223.66666666966668
25,0,independent_astar,5597,0.0,0.21447324,0.6202416,199.3333333333334
25,0,reservation_astar,0,1390.3333335283344,0.40774668,1.0813921999999998,246.66666667466677
25,1,independent_astar,4146,0.0,0.16583328000000003,0.3966663999999999,182.0
