case_id,algorithm,distance_m,expanded_nodes,runtime_ms,optimal_distance_match
0,dijkstra,75.0,203,0.171417,True
0,astar,75.0,97,0.122541,True
1,dijkstra,37.0,68,0.04975,True
1,astar,37.0,29,0.03575,True
2,dijkstra,230.0,726,0.555834,True
2,astar,230.0,441,0.536833,True
3,dijkstra,41.0,91,0.068083,True
3,astar,41.0,38,0.038833,True
4,dijkstra,231.0,726,0.499333,True
4,astar,231.0,441,0.510833,True
5,dijkstra,214.0,661,0.445583,True
5,astar,214.0,91,0.084958,True
6,dijkstra,34.0,68,0.048209,True
6,astar,34.0,29,0.034083,True
7,dijkstra,212.0,665,0.447958,True
7,astar,212.0,176,0.176084,True
8,dijkstra,139.0,417,0.280792,True
8,astar,139.0,163,0.182792,True
9,dijkstra,200.0,615,0.411875,True
9,astar,200.0,163,0.175709,True
10,dijkstra,263.0,836,0.572083,True
10,astar,263.0,322,0.363292,True
11,dijkstra,266.0,845,0.572458,True
11,astar,266.0,788,0.809333,True
12,dijkstra,135.0,403,0.279,True
12,astar,135.0,197,0.221542,True
13,dijkstra,177.0,537,0.365916,True
13,astar,177.0,265,0.306083,True
14,dijkstra,24.0,40,0.029083,True
14,astar,24.0,13,0.017541,True
15,dijkstra,195.0,609,0.416875,True
15,astar,195.0,467,0.481958,True
16,dijkstra,264.0,836,0.58875,True
16,astar,264.0,322,0.370583,True
17,dijkstra,279.0,879,0.658875,True
17,astar,279.0,118,0.120167,True
18,dijkstra,294.0,932,0.893084,True
18,astar,294.0,469,0.617334,True
19,dijkstra,51.0,125,0.098167,True
19,astar,51.0,70,0.07275,True
20,dijkstra,282.0,895,0.716917,True
20,astar,282.0,119,0.116458,True
21,dijkstra,303.0,944,0.683166,True
21,astar,303.0,586,0.741833,True
22,dijkstra,233.0,736,0.53175,True
22,astar,233.0,283,0.340708,True
23,dijkstra,167.0,514,0.366667,True
23,astar,167.0,136,0.143042,True
24,dijkstra,201.0,625,0.503166,True
24,astar,201.0,376,0.666708,True
25,dijkstra,278.0,877,0.705625,True
25,astar,278.0,536,0.722666,True
26,dijkstra,75.0,207,0.162125,True
26,astar,75.0,111,0.134083,True
27,dijkstra,162.0,497,0.350541,True
27,astar,162.0,132,0.134458,True
28,dijkstra,296.0,936,0.698875,True
28,astar,296.0,576,0.705583,True
29,dijkstra,214.0,661,0.4525,True
29,astar,214.0,91,0.091708,True
30,dijkstra,81.0,225,0.156792,True
30,astar,81.0,34,0.034708,True
31,dijkstra,249.0,789,0.53575,True
31,astar,249.0,484,0.50675,True
32,dijkstra,223.0,699,0.497542,True
32,astar,223.0,185,0.209625,True
33,dijkstra,167.0,504,0.355833,True
33,astar,167.0,249,0.294792,True
34,dijkstra,121.0,359,0.244334,True
34,astar,121.0,51,0.047084,True
35,dijkstra,34.0,59,0.043167,True
35,astar,34.0,34,0.032,True
36,dijkstra,178.0,548,0.380833,True
36,astar,178.0,147,0.165,True
37,dijkstra,167.0,504,0.354292,True
37,astar,167.0,249,0.296375,True
38,dijkstra,37.0,79,0.060458,True
38,astar,37.0,27,0.030625,True
39,dijkstra,133.0,400,0.286083,True
39,astar,133.0,177,0.198375,True
40,dijkstra,86.0,240,0.165416,True
40,astar,86.0,131,0.150417,True
41,dijkstra,232.0,722,0.54325,True
41,astar,232.0,361,0.439,True
42,dijkstra,154.0,471,0.334125,True
42,astar,154.0,233,0.271709,True
43,dijkstra,170.0,525,0.394875,True
43,astar,170.0,397,0.449916,True
44,dijkstra,46.0,106,0.081459,True
44,astar,46.0,46,0.055708,True
45,dijkstra,233.0,726,0.523375,True
45,astar,233.0,441,0.539292,True
46,dijkstra,274.0,873,0.632083,True
46,astar,274.0,437,0.56475,True
47,dijkstra,144.0,437,0.382459,True
47,astar,144.0,266,0.312917,True
48,dijkstra,115.0,337,0.278125,True
48,astar,115.0,165,0.202292,True
49,dijkstra,84.0,225,0.16025,True
49,astar,84.0,35,0.0365,True
50,dijkstra,32.0,62,0.045834,True
50,astar,32.0,23,0.026833,True
51,dijkstra,226.0,711,0.5265,True
51,astar,226.0,654,0.679375,True
52,dijkstra,159.0,484,0.338125,True
52,astar,159.0,187,0.207,True
53,dijkstra,197.0,605,0.420875,True
53,astar,197.0,301,0.351084,True
54,dijkstra,113.0,334,0.226792,True
54,astar,113.0,130,0.143416,True
55,dijkstra,137.0,414,0.285375,True
55,astar,137.0,112,0.11425,True
56,dijkstra,157.0,477,0.3305,True
56,astar,157.0,66,0.059917,True
57,dijkstra,171.0,517,0.35425,True
57,astar,171.0,199,0.231125,True
58,dijkstra,206.0,644,0.438708,True
58,astar,206.0,88,0.081417,True
59,dijkstra,38.0,81,0.05875,True
59,astar,38.0,38,0.037417,True
60,dijkstra,65.0,169,0.113542,True
60,astar,65.0,81,0.090291,True
61,dijkstra,173.0,525,0.36475,True
61,astar,173.0,311,0.375167,True
62,dijkstra,121.0,359,0.254084,True
62,astar,121.0,51,0.049875,True
63,dijkstra,251.0,795,0.575125,True
63,astar,251.0,740,0.769334,True
64,dijkstra,151.0,458,0.307667,True
64,astar,151.0,271,0.310333,True
65,dijkstra,176.0,534,0.373,True
65,astar,176.0,205,0.234083,True
66,dijkstra,126.0,376,0.267958,True
66,astar,126.0,54,0.052542,True
67,dijkstra,147.0,448,0.314458,True
67,astar,147.0,120,0.123334,True
68,dijkstra,136.0,408,0.282292,True
68,astar,136.0,236,0.302709,True
69,dijkstra,117.0,337,0.244375,True
69,astar,117.0,165,0.192625,True
70,dijkstra,268.0,853,0.635875,True
70,astar,268.0,328,0.450375,True
71,dijkstra,244.0,772,0.605625,True
71,astar,244.0,474,0.5335,True
72,dijkstra,155.0,471,0.33,True
72,astar,155.0,233,0.278583,True
73,dijkstra,225.0,699,0.534709,True
73,astar,225.0,185,0.235208,True
74,dijkstra,100.0,290,0.207833,True
74,astar,100.0,161,0.193375,True
75,dijkstra,30.0,46,0.034375,True
75,astar,30.0,18,0.019875,True
76,dijkstra,80.0,219,0.153333,True
76,astar,80.0,105,0.140625,True
77,dijkstra,207.0,638,0.534833,True
77,astar,207.0,317,0.390083,True
78,dijkstra,161.0,493,0.352166,True
78,astar,161.0,68,0.06225,True
79,dijkstra,179.0,554,0.398083,True
79,astar,179.0,336,0.356583,True
80,dijkstra,200.0,621,0.429875,True
80,astar,200.0,309,0.367334,True
81,dijkstra,208.0,642,0.443666,True
81,astar,208.0,386,0.462584,True
82,dijkstra,256.0,812,0.575583,True
82,astar,256.0,109,0.097375,True
83,dijkstra,255.0,810,0.563875,True
83,astar,255.0,628,0.6795,True
84,dijkstra,238.0,749,0.520416,True
84,astar,238.0,197,0.222542,True
85,dijkstra,290.0,914,0.659542,True
85,astar,290.0,239,0.273166,True
86,dijkstra,123.0,367,0.25175,True
86,astar,123.0,142,0.159291,True
87,dijkstra,52.0,129,0.093583,True
87,astar,52.0,40,0.040208,True
88,dijkstra,285.0,906,0.637834,True
88,astar,285.0,453,0.561416,True
89,dijkstra,64.0,159,0.117041,True
89,astar,64.0,27,0.028125,True
90,dijkstra,152.0,464,0.334208,True
90,astar,152.0,125,0.139958,True
91,dijkstra,143.0,434,0.294459,True
91,astar,143.0,194,0.195208,True
92,dijkstra,110.0,320,0.224875,True
92,astar,110.0,157,0.184583,True
93,dijkstra,130.0,380,0.267208,True
93,astar,130.0,103,0.116708,True
94,dijkstra,275.0,877,0.650708,True
94,astar,275.0,536,0.673542,True
95,dijkstra,201.0,627,0.450458,True
95,astar,201.0,574,0.603042,True
96,dijkstra,176.0,542,0.388334,True
96,astar,176.0,321,0.39525,True
97,dijkstra,196.0,602,0.423625,True
97,astar,196.0,232,0.269916,True
98,dijkstra,133.0,400,0.280708,True
98,astar,133.0,154,0.179417,True
99,dijkstra,258.0,819,0.721708,True
99,astar,258.0,364,0.413,True
100,dijkstra,122.0,359,0.257166,True
100,astar,122.0,51,0.055208,True
101,dijkstra,48.0,106,0.075416,True
101,astar,48.0,46,0.056083,True
102,dijkstra,221.0,695,0.492667,True
102,astar,221.0,94,0.089708,True
103,dijkstra,37.0,76,0.058125,True
103,astar,37.0,26,0.025875,True
104,dijkstra,160.0,487,0.341375,True
104,astar,160.0,241,0.286583,True
105,dijkstra,9.0,10,0.008708,True
105,astar,9.0,4,0.006875,True
106,dijkstra,271.0,862,0.613709,True
106,astar,271.0,115,0.107584,True
107,dijkstra,68.0,183,0.133042,True
107,astar,68.0,83,0.084792,True
108,dijkstra,55.0,135,0.095,True
108,astar,55.0,61,0.071375,True
109,dijkstra,275.0,866,0.607375,True
109,astar,275.0,227,0.246666,True
110,dijkstra,17.0,26,0.019333,True
110,astar,17.0,11,0.013792,True
111,dijkstra,32.0,52,0.037834,True
111,astar,32.0,22,0.020708,True
112,dijkstra,120.0,353,0.246292,True
112,astar,120.0,173,0.202959,True
113,dijkstra,263.0,826,0.585542,True
113,astar,263.0,501,0.604708,True
114,dijkstra,178.0,551,0.387375,True
114,astar,178.0,214,0.249667,True
115,dijkstra,58.0,149,0.10775,True
115,astar,58.0,69,0.069167,True
116,dijkstra,23.0,35,0.026584,True
116,astar,23.0,15,0.018167,True
117,dijkstra,216.0,668,0.461709,True
117,astar,216.0,256,0.302916,True
118,dijkstra,258.0,819,0.579333,True
118,astar,258.0,316,0.3725,True
119,dijkstra,265.0,843,0.59425,True
119,astar,265.0,654,0.71225,True
120,dijkstra,35.0,68,0.050625,True
120,astar,35.0,29,0.034042,True
121,dijkstra,223.0,692,0.481625,True
121,astar,223.0,416,0.504041,True
122,dijkstra,163.0,501,0.353458,True
122,astar,163.0,193,0.251666,True
123,dijkstra,152.0,464,0.336917,True
123,astar,152.0,124,0.1285,True
124,dijkstra,173.0,531,0.381625,True
124,astar,173.0,143,0.1655,True
125,dijkstra,243.0,759,0.559959,True
125,astar,243.0,461,0.577875,True
126,dijkstra,110.0,324,0.226625,True
126,astar,110.0,186,0.223083,True
127,dijkstra,144.0,437,0.301292,True
127,astar,144.0,266,0.28975,True
128,dijkstra,272.0,862,0.619917,True
128,astar,272.0,115,0.109917,True
129,dijkstra,39.0,75,0.064833,True
129,astar,39.0,16,0.018,True
130,dijkstra,128.0,383,0.274041,True
130,astar,128.0,148,0.232625,True
131,dijkstra,52.0,129,0.098209,True
131,astar,52.0,40,0.043833,True
132,dijkstra,184.0,568,0.420292,True
132,astar,184.0,220,0.267375,True
133,dijkstra,125.0,363,0.249833,True
133,astar,125.0,99,0.104583,True
134,dijkstra,157.0,481,0.368,True
134,astar,157.0,129,0.14475,True
135,dijkstra,77.0,213,0.15575,True
135,astar,77.0,60,0.060542,True
136,dijkstra,126.0,374,0.273666,True
136,astar,126.0,216,0.257834,True
137,dijkstra,225.0,699,0.496375,True
137,astar,225.0,185,0.210291,True
138,dijkstra,39.0,85,0.061541,True
138,astar,39.0,37,0.0445,True
139,dijkstra,156.0,477,0.342,True
139,astar,156.0,424,0.448166,True
140,dijkstra,79.0,216,0.146792,True
140,astar,79.0,85,0.093959,True
141,dijkstra,147.0,437,0.3495,True
141,astar,147.0,217,0.2775,True
142,dijkstra,29.0,53,0.040291,True
142,astar,29.0,21,0.026417,True
143,dijkstra,145.0,441,0.320583,True
143,astar,145.0,327,0.380416,True
144,dijkstra,179.0,551,0.403709,True
144,astar,179.0,214,0.254125,True
145,dijkstra,30.0,47,0.039333,True
145,astar,30.0,19,0.023375,True
146,dijkstra,79.0,219,0.150792,True
146,astar,79.0,105,0.118208,True
147,dijkstra,306.0,951,0.702792,True
147,astar,306.0,922,0.965458,True
148,dijkstra,179.0,551,0.387125,True
