Material Code,,Description,Supply Plan,,,,,Buffer days, future average ,lead time,lead time months,EX,variance (demand),Variance lead time demand,ROP,ROP in days,Buffer stock,,Maximum stock,Stacking quantity,MOQ,Difference,Order Delivery,Order Quantity,,Pallet requirement,Pallet requirement,,,Issuing,,,,,,
,,,Jul SP,Aug SP,Sep SP,Oct SP,Nov SP,,,,,,,,,,,Buffer Days,,,,,,,,,,,,,,,,,,
100036,Bags,CAUSTIC SODA," 116,865 "," 65,374 "," 83,044 "," 77,737 "," 69,302 ", 30 ," 88,715 ",30,1," 88,715.09 ",417860294.4,33524.2755," 122,239.37 ", 41.34 ,42109.76069, 14.24 ," 52,110 ",1000,10000," (78,715)", 3 ," 8,872 "," 1,128 ", ] ,#VALUE!,140.23,7307351.742,488,,,,,,
101054,Bags,CALCIUM CARBONATE ( GROUND )," 79,298 "," 73,708 "," 49,596 "," 57,645 "," 61,055 ", 30 ," 63,018 ",80,2.666666667," 168,048.12 ",146113461.1,32372.28299," 200,420.40 ", 95.41 ,40662.74571, 19.36 ," 72,172 ",1000,23000," (40,018)", 15 ," 31,509 "," (8,509)", 72.17 , 73 ,37.53,2708606.444,227,,,,,,
100098,Drum,SORBITOL," 79,524 "," 65,534 "," 51,795 "," 61,493 "," 58,204 ", 30 ," 66,273 ",90,3," 198,819.51 ",107454901.9,29445.40903," 228,264.92 ", 103.33 ,36986.30646, 16.74 ," 58,986 ",1080,22000," (44,273)", 10 ," 22,091 ", (91), 54.62 , 55 ,120.14,7086614.858,2158,,,Total Racking,1290,,1273+384
101293,Reel,FLUFF UNTREATED - GOLDEN ISLES G4881," 63,658 "," 24,718 "," 54,641 "," 45,126 "," 53,973 ", 30 ," 56,600 ",75,2.5," 141,498.94 ",218598692.9,38338.72208," 179,837.66 ", 95.32 ,48157.1753,," 76,457 ",1314,24000," (32,600)", 15 ," 28,300 "," (4,300)", 58.19 , 59 ,139.04,10630576.17,96,,,,,,
100108,Bags,TALCUM POWDER," 48,839 "," 17,584 "," 32,702 "," 38,951 "," 24,894 ", 30 ," 31,648 ",45,1.5," 47,472.53 ",147227436.3,24371.58938," 71,844.12 ", 68.10 ,30613.09398, 29.02 ," 40,613 ",1000,10000," (21,648)", 7 ," 7,385 "," 2,615 ", 40.61 , 41 ,45.5,1847895.776,276,,,,,,
100323,Drum,BC COLOGNE BULK - IMPORTED," 21,973 "," 19,397 "," 19,547 "," 21,822 "," 18,504 ", 30 ," 21,519 ",70,2.333333333," 50,211.81 ",2427023.805,3902.736757," 54,114.54 ", 75.44 ,4902.218121,," 26,422 ",800,16000," (5,519)", 30 ," 21,519 "," (5,519)", 33.03 , 34 ,319.54,8442746.295,144,,,1st Layer,297,,
100094,Bags,SILICA 165 THICKENING," 10,153 "," 9,819 "," 6,612 "," 7,833 "," 8,212 ", 30 ," 8,591 ",65,2.166666667," 18,612.87 ",2140267.509,3531.61968," 22,144.49 ", 77.33 ,4436.058867, 15.49 ," 13,676 ",400,9240, 649 , 30 ," 9,240 ", -   , 34.19 , 35 ,237.89,3253397.644,1321,,,,,,
101466,Reel,3D BUBBLE NON-WOVEN TOP SHEET 38GSM-90MM," 4,050 "," 1,647 "," 3,603 "," 2,791 "," 3,585 ", 30 ," 3,842 ",65,2.166666667," 8,324.16 ",898191.8198,2287.833667," 10,611.99 ", 82.86 ,2873.74229,," 6,716 ",150,1000," (2,842)", 30 ," 3,842 "," (2,842)", 44.77 , 45 ,1026.84,6895910.513,45,,,,,,
101580,Drum,SODIUM SILICATE," 35,518 "," 14,181 "," 21,851 "," 23,693 "," 19,548 ", 30 ," 22,958 ",30,1," 22,958.29 ",62045534.16,12918.11397," 35,876.41 ", 46.88 ,16226.41146,,#N/A,1200,6000," (16,958)",#N/A,#N/A,#N/A,#N/A, -   ,33,#N/A,57,,,,,,
