Material Code,Description
,
100036,CAUSTIC SODA
101054,CALCIUM CARBONATE ( GROUND )
100098,SORBITOL
101293,FLUFF UNTREATED - GOLDEN ISLES G4881
100108,TALCUM POWDER
100323,BC COLOGNE BULK - IMPORTED
100094,SILICA 165 THICKENING
101466,3D BUBBLE NON-WOVEN TOP SHEET 38GSM-90MM
101580,SODIUM SILICATE
100460,GALAXY LES 70
100039,EMAL 10 PHD  (  Galaxy 689 )
101300,SOFT EDGE N/WOVEN HYD - AIR THROUGH 115m
100714,COCOMIDOPROPYL BETAINE
101308,PE BACK SHEET 170mm - WHITE
100050,GLYCERINE
101413,BULK BC FRESH FLORAL COLOGNE - IMPORTED
100403,VIRGIN COCONUT OIL
101736,ECOSMOOTH SATIN
100110,TITANIUM DIOXIDE
101305,SOFT EDGE PE - WHITE OPAQUE 115mm (Only
101428,PREMIUM PE - PERFORATED 85mm TOP SHEET
100030,CORN STARCH
100904,HOT MELT ADHESIVE DMC 5228
101065,BC LUCKY DUCKY COL - BULK
101472,PRINTED PE POUCH 240mm - LIGHT PINK
101017,  Tinopal CBS X
101302,AQL NON WOVEN WHITE 60mm - WHITE
101398,IMPORTED BULK - BC COL CUDDLY BUNNY
101389,IMPORTED BULK - BC FLORAL COL
101762,Pink Pleats
100006,ALCOHOL
101399,IMPORTED BULK - BC COL ANGEL FAIRY
101471,PRINTED PE POUCH 240mm - LIGHT PURPLE
100038,XIAMETER (R) MEM - 1785 EMULSION
100525,LUZI 187340
101374,CUTINA EGDS
101390,IMPORTED BULK - BC BED TIME COL
101429,PREMIUM PE PERFORATED 90mm TOP SHEET
101862,BULK BC HERBAL COLOGNE - IMPORTED
100026,CETYL ALCOHOL
100105,STEARIC ACID
100171,OPTAMINT 293250
100835,SANDALWOOD CO 13490T
100913,SAP SA 60 N  TYPE II
100018,BRIQUEST ADPA
100043,EMPILAN GMS SE 40(CAFLOAN)
100093,SILICON
100097,S.M.F.P.
101295,RELEASE PAPER WINGS 65mm - WHITE
101468,NEW RL.PAPER PRNTD. CENTER 50mm - PINK
101470,PRINTED PE POUCH 290mm - SEA GREEN
101488,ROSE & CARE MOD 434031 ( R )
101496,DHARIYAL CMC - IG 3040
101517,ABBRASIVE SILICA ( ZEODENT 113 )
101637,PINK PLUM IMP 4 EAE 36544/00
100035,CLIMBAZOLE
100044,EMANON PCSA
100069,METHYL PARABEN
