Material Code,Description,Supply Plan,,,,,Buffer days, future average ,lead time,lead time months,EX,variance (demand),Variance lead time demand,ROP,ROP in days,Buffer stock,Maximum stock,Stacking quantity,,,,,,
,,Jul SP,Aug SP,Sep SP,Oct SP,Nov SP,,,,,,,,,,,,,,,,,,
100133,F.D.& C YELLOW 6, 0 , 0 , 0 , 0 , 0 , 30 , 0 ,60,2, 0.33 ,0.010076592,0.23281753, 0.56 , 102.25 ,0.165315751, 0 ,#N/A,,,,,,
100199,DFA (FLEXI)," 587,191 "," 345,614 "," 434,288 "," 401,782 "," 350,116 ", 30 ," 423,798 ",60,2," 847,596.64 ",9708469268,228525.2675," 1,076,121.91 ", 76.18 ,423798.3223," 847,597 ",#N/A,,,,,,
100756,ALPHA OLEFIN SULPHONATE 96% - A.O.S," 26,211 "," 19,403 "," 13,555 "," 7,527 "," 7,003 ", 30 ," 14,740 ",45,1.5," 22,109.92 ",66653175.52,16398.3405," 38,508.26 ", 78.38 ,14739.9467," 29,480 ",#N/A,,,,,,
100764,CALCIUM CARBONATE - DETERGENT GRADE, 35 , 52 , 60 , 56 , 56 , 30 , 52 ,30,1, 51.82 ,97.31477299,16.17831306, 67.99 , 39.37 ,51.81529038, 104 ,#N/A,,,,,,
100946,PRECIPITATED SIILCA POWDER," 34,193 "," 25,324 "," 21,613 "," 16,537 "," 15,393 ", 30 ," 22,612 ",70,2.333333333," 52,761.57 ",57875349.11,19058.07592," 71,819.64 ", 95.28 ,22612.09999," 45,224 ",#N/A,,,,,,
100947,SPECKLES-BLUE COLOUR," 6,092 "," 4,395 "," 3,770 "," 2,729 "," 2,573 ", 30 ," 3,912 ",45,1.5," 5,867.68 ",2049421.855,2875.445623," 8,743.13 ", 67.05 ,3911.786348," 7,824 ",#N/A,,,,,,
100948,SPECKLES-PINK COLOUR," 5,479 "," 4,257 "," 3,364 "," 2,346 "," 2,269 ", 30 ," 3,543 ",60,2," 7,086.43 ",1836910.531,3143.423154," 10,229.85 ", 86.62 ,3543.215428," 7,086 ",#N/A,,,,,,
101004,SODIUM SULPHATE -DT.PWDR," 963,193 "," 713,418 "," 610,762 "," 469,087 "," 436,621 ", 30 ," 638,616 ",60,2," 1,277,232.06 ",45315908858,493723.9481," 1,770,956.00 ", 83.19 ,638616.028," 1,277,232 ",#N/A,,,,,,
101084,ZEOLITE  4 A, 35 , 52 , 60 , 56 , 56 , 30 , 52 ,60,2, 103.63 ,97.31477299,22.87958974, 126.51 , 73.25 ,51.81529038, 104 ,#N/A,,,,,,
101853,INDIAN DFA," 127,619 "," 54,368 "," 73,776 "," 73,776 "," 73,776 ", 30 ," 80,663 ",60,2," 161,325.84 ",759635460.8,63923.63468," 225,249.47 ", 83.77 ,80662.92," 161,326 ",#N/A,,,,,,
,Labsa,,,,,,,,,,,,,,,,,,,,,,,
,Caustic Soda,,,,,,,,,,,,,,,,,,,,,,,
,Mix dolamite,1500,,,,,,,,,,,,,,,,,,,,,,
*****,"These materials are stored in tanks, third party locations",,,,,,,,,,,,,,,,,,,,,,,
100200,LIGHT LIQUID OIL," 104,139 "," 96,187 "," 67,047 "," 82,647 "," 49,817 ", 30 ," 79,968 ",75,2.5," 199,918.94 ",482617252.6,56965.94076," 256,884.88 ", 96.37 ,71554.77925," 90,214 ",692,20000," (59,968)", 7 ," 18,659 ", 130.37 , 131 
,Add 40 for RM,,,,,,,,,,,,,,,,,,,,,,,
,150k adu karanna FG Actual,,,,,,,,,,,,,,,,,,,,,,,
,Export FG should add,,,,,,,,,,,,,,,,,,,,,,,
